"Country_Name","Country_Code","año","escanos","PBI","educacion_superior","estabilidad_politica","fuerza_laboral","corrupcion","igualdad","region"
"Belarus","BLR","2020",40,-0.672904125264921,71.8813705444336,-0.887608170509338,59.067,-0.133964225649834,4,"Europe Eastern"
"Belgium","BEL","2020",41.3333333333333,-5.30447336526071,67.2383193969727,0.521023035049438,49.336,1.44595634937286,3.5,"Europe Western"
"Belize","BLZ","2020",9.67741935483871,-13.7316910831405,46.2127418518066,0.518612146377563,47.333,-0.193349361419678,3,"Latin America & Caribbean"
"Benin","BEN","2020",7.2289156626506,3.84879240030133,25.4051609039307,-0.443083792924881,55.784,-0.040327787399292,3.5,"Africa"
"Bhutan","BTN","2020",14.8936170212766,-10.2183974208569,25.6896591186523,1.01341140270233,63.06,1.61823654174805,4,"Asia"
"Bolivia","BOL","2020",46.1538461538462,-8.7378843576993,35.7251014709473,-0.453478872776031,59.337,-0.844050765037537,4,"Latin America & Caribbean"
"Bosnia and Herzegovina","BIH","2020",26.1904761904762,-3.01509514759861,36.5458106994629,-0.447489053010941,36.009,-0.642686784267426,3,"Europe Eastern"
"Botswana","BWA","2020",10.7692307692308,-8.72875252639037,169.243621826172,1.01309037208557,56.981,0.611279487609863,1.5,"Africa"
"Brazil","BRA","2020",14.6198830409357,-3.2767587964736,19.2982997894287,-0.445607244968414,50.186,-0.428935021162033,3,"Latin America & Caribbean"
"Brunei Darussalam","BRN","2020",9.09090909090909,1.1335733495246,29.6483898162842,1.18799841403961,54.557,1.24822545051575,4.5,"Asia"
"Bulgaria","BGR","2020",26.6666666666667,-3.96615613627334,57.1576881408691,0.40158087015152,49.188,-0.322116583585739,4.5,"Europe Eastern"
"Burkina Faso","BFA","2020",6.2992125984252,2.01077262411845,1.54579997062683,-1.53794133663177,57.215,-0.122583754360676,3.5,"Africa"
"Burundi","BDI","2020",38.2113821138211,0.327156892638385,31.737979888916,-1.54231476783752,78.596,-1.56294918060303,4,"Africa"
"Cabo Verde","CPV","2020",25,-20.8052759150896,44.6761207580566,0.874160885810852,48.027,0.845997393131256,4,"Africa"
"Cambodia","KHM","2020",20,-3.09600673131888,57.5616302490234,-0.209088623523712,69.062,-1.27112245559692,4,"Asia"
"Cameroon","CMR","2020",33.8888888888889,0.259932915907115,15.2254400253296,-1.51364362239838,66.549,-1.14034998416901,3,"Africa"
"Canada","CAN","2020",28.9940828402367,-5.03823344128351,51.2457084655762,1.01310467720032,59.509,1.5655562877655,3.5,"North America"
"Central African Republic","CAF","2020",8.57142857142857,0.899999996857062,67.2383193969727,-2.23620891571045,62.662,-1.2947770357132,2.5,"Africa"
"Chad","TCD","2020",15.4320987654321,-1.60000673705524,26.8633499145508,-1.25519597530365,48.086,-1.42478811740875,2.5,"Africa"
"Chile","CHL","2020",22.5806451612903,-6.14347479224092,11.2469501495361,0.044010441750288,45.459,1.10673403739929,3,"Latin America & Caribbean"
"China","CHN","2020",24.9411764705882,2.23863835634639,44.6761207580566,-0.473098784685135,60.122,-0.0709566846489906,3.5,"Asia"
"Colombia","COL","2020",18.3431952662722,-7.18591413760859,30.7380790710449,-0.701150596141815,51.122,-0.251915633678436,3.5,"Latin America & Caribbean"
"Comoros","COM","2020",16.6666666666667,-0.195556827149787,51.947380065918,-0.28740406036377,32.672,-1.20799458026886,3,"Africa"
"Congo, Dem. Rep.","COD","2020",12.8,1.73542276681493,4.21081018447876,-1.78548359870911,61.956,-1.59226739406586,3,"Africa"
"Congo, Rep.","COG","2020",11.2582781456954,-6.26777799581888,53.9551811218262,-0.213065609335899,65.984,-1.46041822433472,3,"Africa"
"Costa Rica","CRI","2020",45.6140350877193,-4.27335432054194,32.5724906921387,0.746752381324768,48.492,0.661663234233856,4,"Latin America & Caribbean"
"Cote d'Ivoire","CIV","2020",11.3725490196078,0.699728593256083,54.077018737793,-1.03320527076721,55.733,-0.55229663848877,3,"Africa"
"Croatia","HRV","2020",31.1258278145695,-8.52043813391506,54.1680793762207,0.607223808765411,44.638,0.177089244127274,3.5,"Europe Eastern"
"Cuba","CUB","2020",53.2231404958678,-10.9490846048862,44.6991882324219,0.59608781337738,39.449,-0.154578611254692,4,"Latin America & Caribbean"
"Cyprus","CYP","2020",19.6428571428571,-3.44359637887621,28.6642093658447,0.288732588291168,56.521,0.349622398614883,3.5,"Asia"
"Czechia","CZE","2020",22.5,-5.50296796125089,54.1933288574219,0.912254869937897,51.816,0.555802822113037,3.5,"Europe Eastern"
"Denmark","DNK","2020",39.6648044692737,-2.42451267861938,69.6800994873047,0.920160233974457,57.75,2.23646879196167,3.5,"Europe Western"
